id,korean,english,sample_sentence
1,안녕하세요,Hello,"안녕하세요. 잘 지냈어요? / Hello. How have you been? "
2,저기요,Excuse me,"저기요"
3,죄송합니다,I'm sorry,"죄송합니다. 오타였어요. / I'm sorry. It was a typo. "
4,안녕히 주무세요,Good night,"할머니, 안녕히 주무세요. / Good night, Grandma. "
5,만나서 반가워요,Nice to meet you,"들어오세요. 만나서 반가워요. / Please come in. Nice to meet you. "
6,어떻게 지내세요?,How are you?,"오랜만이네요. 어떻게 지내세요? / It's been a long time"
7,네,Yes,"네"
8,아니요,No,"아니요. 아직 안 먹었어요. / No"
9,고마워요,Thank you,"초대해 줘서 고마워요. / Thank you very much for the invitation. "
10,저는 (name) 입니다,I'm (name),"저는 존입니다. / I'm Jon. "
11,잘 가요,Goodbye,"잘 가요. 또 봐요! / Goodbye. See you again! "
12,나쁜,bad,"나쁜 사람들을 조심하세요. / Be careful of bad people. "
13,좋은,good,"우리 선생님은 좋은 사람입니다. / My teacher is a good person. "
14,예쁜,pretty,"저는 예쁜 여자친구가 있어요. / I have a pretty girlfriend. "
15,못생긴,ugly,"못생긴 얼굴 / ugly face "
16,쉬운,easy,"쉬운 시험 / easy exam "
17,어려운,difficult,"어려운 문제 / difficult problem "
18,가까이에,near,"저는 대학교 가까이에 삽니다. / I live near the university. "
19,멀리,far,"역은 여기에서 멀리 있습니다. / The station is far from here. "
20,작은,small,"작은 실수 / small mistake "
21,오늘,today,"오늘의 숙제 / today's homework "
22,어제,yesterday,"어제 아침 / yesterday morning "
23,내일,tomorrow,"내일 봐요! / See you tomorrow! "
24,주,week,"이번 주는 바빠요. / I'm busy this week. "
25,년,year,"일년 / one year "
26,초,second,"일 분에는 육십 초가 있습니다. / There are 60 seconds in a minute. "
27,분,minute,"삼분 / three minutes "
28,시간,hour,"저는 매일 여덟 시간을 잡니다. / I sleep for 8 hours every day. "
29,시계,clock,"알람 시계 / alarm clock "
30,정각,o'clock,"아홉 시 정각에 역에서 만나요. / Let's meet at the station at 9 o'clock. "
31,달력,calendar,"달력에 우리 기념일을 적어놨어요. / I marked our anniversary on the calendar. "
32,월요일,Monday,"월요일에는 회사에 가요. / I go to work on Monday. "
33,화요일,Tuesday,"일월 일일 화요일 / Tuesday"
34,수요일,Wednesday,"십팔일 수요일 / Wednesday the 18th "
35,목요일,Thursday,"일월 삼일 목요일 / Thursday"
36,금요일,Friday,"이번 주 금요일에 시간 있어요? / Are you free this Friday? "
37,토요일,Saturday,"토요일 밤 / Saturday night "
38,일요일,Sunday,"일요일 아침 식사 / Sunday morning breakfast "
39,하다,do,"숙제를 하다 / do homework "
40,가다,go,"공원에 가다 / go to the park "
41,웃다,laugh,"커플이 농담에 웃었다. / The couple is laughing at a joke. "
42,맛있어요,delicious,"중국 음식은 맛있어요! / Chinese food is delicious! "
43,물,water,"물 좀 마실 수 있을까요? / Can I have some water"
44,차,tea,"차 한 잔 하시겠습니까? / Would you like a cup of tea? "
45,커피,coffee,"커피 한 잔 / cup of coffee "
46,맥주,beer,"차가운 맥주 / cold beer "
47,포도주,wine,"포도주 한 잔 / glass of wine "
48,쇠고기,beef,"쇠고기 스테이크 / beef steak "
49,닭고기,chicken,"닭고기는 튀길 수도 있고"
50,돼지고기,pork,"포크는 돼지고기입니다. / Pork is the meat from a pig. "
51,생선,fish,"닭고기와 생선요리 중 무엇을 드시겠습니까? / Chicken or fish? "
52,양고기,lamb,"양고기는 대단히 맛있습니다. / Lamb is extremely delicious. "
53,의사,doctor,"혹시 몸이 아프면 의사에게 진찰을 받으세요. / If you get sick go to the doctor. "
54,경찰관,police officer,"경찰관에게 도움을 청할게요. / I'll ask a police officer for help. "
55,선생님,teacher,"영어 선생님 / English teacher "
56,직원,employee,"여직원 / female employee "
57,오다,come,"여자 아이가 비디오 카메라를 향해 온다. / The girl came towards the video camera. "
58,보다,see,"관광객이 일몰을 보았다. / The tourists saw the sunset. "
59,만들다,make,"요리사가 오렌지 주스를 만든다. / The chef makes orange juice. "
60,사용하다,use,"프로그래머가 컴퓨터를 사용하고 있다. / The programmer is using a computer. "
61,...할 수 있다,can,"뛰어 넘을 수 있다 / can jump over "
62,영,zero,"숫자 영 / number zero "
63,일,one,"일도 / one degree "
64,이,two,"이는 제가 제일 좋아하는 숫자입니다. / The number two is my favorite number. "
65,삼,three,"삼 달러 / three dollars "
66,사,four,"숫자 사 / number four "
67,오,five,"오도 / five degrees "
68,육,six,"다음 달 우리는 육일 쉽니다. / We have a six-day vacation next month. "
69,칠,seven,"일주일에 칠일 / seven days a week "
70,팔,eight,"팔은 행운의 숫자입니다. / Eight is a lucky number. "
71,구,nine,"구층 / nine floors "
72,십,ten,"십 그램 / ten grams "
73,판매원,salesman,"자동차 판매원 / car salesman "
74,매니저,manager,"부서 매니저 / department manager "
75,요리사,cook,"요리사가 계란 프라이를 하였다. / The cook fried an egg. "
76,엔지니어,engineer,"저는 엔지니어입니다. / I am an engineer. "
77,프로그래머,programmer,"저는 프로그래머입니다. / I am a computer programmer. "
78,간호사,nurse,"저 여자 분은 간호사입니다. / The woman is a nurse. "
79,몸,body,"뚱뚱한 몸 / thick body "
80,머리,head,"머리 부상은 아주 위험합니다. / Head injuries are very dangerous. "
81,손,hand,"왼손 / left hand "
82,팔,arm,"근육질의 팔 / muscular arm "
83,발,foot,"오른발 / right foot "
84,다리,leg,"긴 다리 / long legs "
85,손가락,finger,"새끼손가락 / pinkie finger "
86,등,back,"등이 아파요. / My back hurts. "
87,배,stomach,"배가 아파요. / My stomach hurts. "
88,가슴,chest,"가슴 엑스레이 / X-ray of a chest "
89,일월,January,"이 곳은 일월에 정말 춥습니다. / It's very cold here in January. "
90,이월,February,"이월은 이십팔일 밖에 없는 가장 짧은 달입니다. / February is the shortest month with 28 days. "
91,삼월,March,"삼월 십칠일 / March 17th "
92,사월,April,"사월 일일. / April 1st. "
93,오월,May,"오월의 꽃 / May flowers "
94,유월,June,"우리는 유월에 결혼할 것입니다. / We are getting married in June. "
95,칠월,July,"칠월은 삼십일일이 있는 일곱 개의 달 중에 하나입니다. / July is one of 7 months with 31 days. "
96,팔월,August,"학교는 팔월에 닫습니다. / The school is closed in August. "
97,구월,September,"오늘은 구월 십일 토요일입니다. / Today is Saturday"
98,시월,October,"할로윈은 시월 삼십일 일입니다. / Halloween falls on October 31st. "
99,십일월,November,"추수감사절은 십일월 이십사일 목요일입니다. / Thanksgiving"
100,십이월,December,"십이월 삼십일일은 새해 전날입니다. / December 31st is New Year's Eve. "
101,시계,watch,"시계 있어요? / Do you have a watch? "
102,안경,glasses,"저는 안경을 끼지 않아요. / I don't wear glasses. "
103,재킷,jacket,"재킷이 잘 어울려요. / That jacket looks nice on you. "
104,받다,receive,"고백 받다 / to receive a confession of love "
105,검색,search,"인터넷으로 검색하면 나와요. / It will show up if you search on the Internet. "
106,데려다 주다,take,"집에 데려다 주세요. / Please take me home. "
107,약한,weak,"제 가족은 제 힘이자 약한 부분입니다. / My family is my strength and my weakness. "
108,세다,strong,"고릴라는 원숭이보다 힘이 더 세다. / Gorillas are stronger than monkeys. "
109,춥다,cold,"북극은 여름에도 춥다. / The North Pole is cold even in summer. "
110,뜨거운,hot,"나는 뜨거운 목욕을 한다. / I take a hot bath. "
111,웃기는,funny,"웃기는 시트콤은 저를 행복하게 만듭니다. / Funny sitcoms make me happy. "
112,복숭아,peach,"저는 복숭아에 알레르기가 있어요. / I am allergic to peaches. "
113,오렌지,orange,"저는 아침 식사와 함께 오렌지 주스를 그리고 점심 식사와 함께 사과 주스를 마십니다. / I drink orange juice with breakfast and apple juice with lunch. "
114,감자,potato,"감자 튀김은 몸에 안 좋아요. / Fried potato is not good for your health. "
115,콩,soybean,"대두는 콩의 일종입니다. / A soybean is a kind of bean. "
116,야채,vegetable,"야채볶음 먹었어요. / I ate fried vegetables. "
117,소,cow,"소들이 들판에서 풀을 뜯고 있다. / The cows are grazing in the field. "
118,돼지,pig,"돼지는 하늘을 볼 수 없어요. / Pigs can't look up at the sky. "
119,말,horse,"말 타 본 적 있어요? / Have you ever ridden a horse before? "
120,눈,snow,"나무에 눈이 내리고 있다. / The snow is falling in the woods. "
121,셔츠,shirt,"장롱에 셔츠가 열 벌 있습니다. / There are ten shirts in the closet. "
122,바지,pants,"당신의 바지는 제 것보다 커요. / Your pants are bigger than mine. "
123,드레스,dress,"그 드레스 안 산 게 후회돼. / I regret not buying that dress. "
124,말하다,say,"나도 지금 그렇게 말하려고 했는데. / I was just going to say that. "
125,전화하다,call,"내일 오전에 전화 해 주세요. / Please give me a call tomorrow morning. "
126,찾다,find,"핸드폰 어떻게 찾았어요? / How did you find the cellphone? "
127,깨끗한,clean,"깨끗한 환경을 지향합니다. / We aim for a clean environment. "
128,더러운,dirty,"더러운 셔츠들은 세탁기에 넣어주시길 바랍니다. / Put your dirty shirts into the washing machine"
129,당근,carrot,"아이들은 당근을 싫어합니다. / Kids do not like carrots. "
130,양파,onion,"양파를 넣고 볶으세요. / Please put in the onion and stir-fry it. "
131,상추,lettuce,"삼겹살을 먹을 때는 상추가 있어야 돼요. / You have to have some lettuce when you eat samgyeopsal. "
132,양,sheep,"양이 풀을 먹고 있다. / The sheep is eating the green grass. "
133,토끼,rabbit,"내 동생은 토끼 띠에 태어났습니다. / My younger brother was born in the year of the Rabbit. "
134,물개,seal,"물개는 가장 차가운 지역에서 삽니다. / Seals live in the coldest areas. "
135,구름,cloud,"오늘은 구름이 하나도 안 보이네요. / I can't see any cloud today. "
136,화창한,sunny,"나는 자주 화창한 날에 피크닉을 갑니다. / I often go on a picnic on a sunny day. "
137,비가 오는,rainy,"이번 토요일에 비가 올 거예요. / It will be rainy this Saturday. "
138,아기,baby,"아기가 태어났습니다. / A baby was born. "
139,여자,girl,"그 여자 아이들은 고등학생입니다. / The girls are high school students. "
140,남자 아이,boy,"남자 아이는 그 영화를 좋아했어요. / The boy liked the movie. "
141,행복한,happy,"저는 행복한 사람입니다. / I am a happy person. "
142,슬픈,sad,"슬픈 청소년은 혼자 앉아 있다. / The sad teenager is sitting alone. "
143,화난,angry,"오늘 아침에 화난 일이 있었다. / There was something that made me angry this morning. "
144,옷,clothing,"옷 가게에서 일 했어. / I worked at a clothing store. "
145,신발,shoe,"새 신발이 필요해요. / I need new shoes. "
146,양말,sock,"양말 신었어? / Are you wearing socks? "
147,속옷,underwear,"내 양말과 속옷은 서랍장 첫 칸에 있어. / My socks and underwear are in the top drawer of my dresser. "
148,말하다,talk,"너랑 말하고 싶지 않아. / I don't want to talk to you. "
149,주다,give,"선물을 주다 / give a present "
150,낮다,low,"내 소득은 동료들에 비해 상대적으로 낮다. / My income is relatively low compared to my coworkers'. "
151,높다,high,"반도체 관련주는 늘 가격이 높다. / The price of semiconductor-related stocks is always high. "
152,과일,fruit,"접시에 과일을 담아 주세요. / Please put the fruits on the plate. "
153,문어,octopus,"문어가 바닷속을 헤엄치고 있다. / The octopus is swimming in the ocean. "
154,상어,shark,"상어는 피비린내로 유인한다. / The sharks are lured in by the smell of blood. "
155,고래,whale,"고래들이 숨을 쉬기 위해 수면으로 올라오고 있다. / The whales are coming up for air. "
156,흐린,cloudy,"저는 흐린 날이 싫습니다. / I don't like cloudy days. "
157,시원한,cool,"시원한 계곡으로 놀러가고 싶어요. / I want to go to a cool valley and chill out. "
158,오이,cucumber,"오이가 싱싱해요. / These cucumbers are fresh. "
159,피망,bell pepper,"가장 흔한 피망 색깔은 초록색과 빨간색"
160,브로콜리,broccoli,"브로콜리는 암을 예방해 준다고 해요. / Broccolli is said to prevent cancer. "
161,바나나,banana,"이 바나나는 정말 달아요. / This banana is really sweet. "
162,사과,apple,"사과를 깎고 있어요. / I'm peeling an apple. "
163,포도,grape,"어떤 사람들은 포도를 껍질채 먹습니다. / Some people eat grapes unpeeled. "
164,수박,watermelon,"여름에는 수박이 최고예요. / In summer"
165,새,bird,"새가 훨훨 날아가버렸어요. / The bird has gone flapping away. "
166,쥐,mouse,"쥐가 포도를 먹고 있다. / The mouse is eating a grape. "
167,해,sun,"여름에는 해가 일찍 떠요. / The sun rises early in the summer. "
168,날씨,weather,"날씨가 이상해요. / The weather is weird. "
169,도,degree,"밖은 겨우 1도다. / It is barely one degree outside. "
170,여자,woman,"미키씨는 여자입니다. / Miki is a woman. "
171,남자,man,"그 남자는 오십대 정도로 보였어요. / A man appeared to be in his fifties. "
172,여자친구,girlfriend,"여자친구가 무서운 장면에서 얼굴을 돌렸다. / My girlfriend hid her face from the scary scene. "
173,남자친구,boyfriend,"남자친구 사귀었어? / Did you get a boyfriend? "
174,기차,train,"그는 모자를 기차에 두고 내렸다. / He forgot his cap on the train. "
175,비행기,airplane,"그는 비행기 타는 것을 좋아해요. / He likes flying by airplane. "
176,버스,bus,"그는 버스를 탑니다. / He rides the bus. "
177,택시,taxi,"택시에 탄 다음에 전화 주세요. / Give me a call after you get in the taxi. "
178,시금치,spinach,"시금치 1000원 어치 주세요. / Please give me 1"
